// Points

1	-5.3225	4.5276	7.3258
2	5.3225	4.5276	7.3258
3	0.0000	10.1240	-0.0000
4	-0.0000	4.5276	-9.0551
5	8.6120	4.5276	-2.7982
6	-8.6120	4.5276	-2.7982
7	0.0000	7.9465	6.0706
8	-5.7735	7.9465	1.8759
9	-3.5682	7.9465	-4.9112
10	3.5682	7.9465	-4.9112
11	5.7735	7.9465	1.8759
12	9.3417	1.8759	3.0353
13	5.7735	1.8759	-7.9465
14	0.0000	1.8759	9.8225
15	-9.3417	1.8759	3.0353
16	-5.7735	1.8759	-7.9465
17	-3.5921	5.9740	7.1735
18	-3.5921	3.7445	8.5514
19	-1.7839	7.1507	6.7587
20	-1.7839	2.8473	9.4184
21	-1.8392	5.1566	8.3435
22	0.0000	6.3225	7.7375
23	-0.0000	4.0931	9.1154
24	0.0000	9.7509	2.2294
25	-2.1203	9.7509	0.6889
26	0.0000	9.0264	4.3034
27	-4.0928	9.0264	1.3298
28	-2.1113	9.3104	2.9060
29	-2.0009	8.4265	4.9835
30	-4.1212	8.4265	3.4430
31	3.5921	5.9740	7.1735
32	5.7124	5.9740	5.6330
33	1.7839	7.1507	6.7587
34	5.8767	7.1507	3.7852
35	3.9506	7.3765	5.4375
36	2.0009	8.4265	4.9835
37	4.1212	8.4265	3.4430
38	-5.7124	5.9740	5.6330
39	-5.8767	7.1507	3.7852
40	-3.9506	7.3765	5.4375
41	-7.9324	5.9740	-1.1995
42	-9.2428	3.7445	-0.7738
43	-6.9792	7.1507	0.3920
44	-9.5086	2.8473	1.2138
45	-8.5035	5.1566	0.8291
46	-7.3588	6.3225	2.3910
47	-8.6692	4.0931	2.8168
48	-1.3104	9.7509	-1.8036
49	-2.5295	9.0264	-3.4815
50	-3.4162	9.3104	-1.1100
51	-5.3579	8.4265	-0.3630
52	-4.5480	8.4265	-2.8556
53	-7.1225	5.9740	-3.6921
54	-5.4159	7.1507	-4.4194
55	-6.3921	7.3765	-2.0769
56	-1.3104	5.9740	-7.9149
57	-2.1203	3.7445	-9.0296
58	-2.5295	7.1507	-6.5165
59	-4.0928	2.8473	-8.6682
60	-3.4162	5.1566	-7.8311
61	-4.5480	6.3225	-6.2598
62	-5.3579	4.0931	-7.3745
63	1.3104	9.7509	-1.8036
64	2.5295	9.0264	-3.4815
65	0.0000	9.3104	-3.5920
66	-1.3104	8.4265	-5.2078
67	1.3104	8.4265	-5.2078
68	2.1203	9.7509	0.6889
69	4.0928	9.0264	1.3298
70	3.4162	9.3104	-1.1100
71	4.5480	8.4265	-2.8556
72	5.3579	8.4265	-0.3630
73	1.3104	5.9740	-7.9149
74	2.5295	7.1507	-6.5165
75	-0.0000	7.3765	-6.7211
76	7.1225	5.9740	-3.6921
77	7.9324	3.7445	-4.8068
78	5.4159	7.1507	-4.4194
79	6.9792	2.8473	-6.5711
80	6.3921	5.1566	-5.6689
81	4.5480	6.3225	-6.2598
82	5.3579	4.0931	-7.3745
83	2.1113	9.3104	2.9060
84	7.9324	5.9740	-1.1995
85	6.9792	7.1507	0.3920
86	6.3921	7.3765	-2.0769
87	7.0228	3.7445	6.0588
88	8.4061	2.8473	4.6070
89	7.3668	5.1566	4.3275
90	7.3588	6.3225	2.3910
91	8.6692	4.0931	2.8168
92	9.2428	3.7445	-0.7738
93	9.5086	2.8473	1.2138
94	8.5035	5.1566	0.8291
95	9.5086	-0.1877	3.0895
96	9.9059	0.6889	1.1147
97	9.9059	0.0000	-1.1147
98	5.7124	2.3667	7.8624
99	5.8767	0.1877	8.0885
100	7.3668	1.5645	6.5475
101	8.6692	0.6889	4.9207
102	7.3588	0.0000	6.7244
103	9.2428	2.3667	-3.0032
104	9.5086	0.1877	-3.0895
105	9.8083	1.5645	-0.9669
106	5.8767	-0.1877	-8.0885
107	8.6692	0.0000	-4.9207
108	7.3588	0.6889	-6.7244
109	2.1203	3.7445	-9.0296
110	4.0928	2.8473	-8.6682
111	3.4162	5.1566	-7.8311
112	4.1212	0.6889	-9.0766
113	2.0009	0.0000	-9.7655
114	8.5035	1.5645	-4.9829
115	-0.0000	2.3667	-9.7185
116	-0.0000	0.1877	-9.9980
117	2.1113	1.5645	-9.6271
118	-5.8767	-0.1877	-8.0885
119	-2.0009	0.0000	-9.7655
120	-4.1212	0.6889	-9.0766
121	-5.7124	2.3667	7.8624
122	-7.0228	3.7445	6.0588
123	-5.8767	0.1877	8.0885
124	-8.4061	2.8473	4.6070
125	-7.3668	1.5645	6.5475
126	-7.3588	0.0000	6.7244
127	-8.6692	0.6889	4.9207
128	-0.0000	-0.1877	9.9980
129	-4.1212	0.0000	9.0766
130	-2.0009	0.6889	9.7655
131	-3.9506	1.5645	9.0295
132	3.5921	3.7445	8.5514
133	1.7839	2.8473	9.4184
134	1.8392	5.1566	8.3435
135	2.0009	0.6889	9.7655
136	4.1212	0.0000	9.0766
137	3.9506	1.5645	9.0295
138	-9.2428	2.3667	-3.0032
139	-9.5086	0.1877	-3.0895
140	-9.8083	1.5645	-0.9669
